ESD-CODE,STATE,PHASE,PHASE-NAME,VEG,NOTES
R036XY284CO,SEEDED,4.1,SEEDED GRASSLAND,PG/AG,
R036XY284CO,SEEDED,4.1,SEEDED GRASSLAND,PF/AF,
R036XY284CO,SEEDED,4.1,SEEDED GRASSLAND,SHRUB,
R036XY284CO,SEEDED,4.2,SEEDED GRASSLAND/SHRUBLAND,PG/AG -SEEDED,
R036XY284CO,SEEDED,4.2,SEEDED GRASSLAND/SHRUBLAND,PG/AG,
R036XY284CO,SEEDED,4.2,SEEDED GRASSLAND/SHRUBLAND,PF/AF,
R036XY284CO,SEEDED,4.2,SEEDED GRASSLAND/SHRUBLAND,SHRUB,
R036XY284CO,SEEDED,4.2,SEEDED GRASSLAND/SHRUBLAND,ARTRW8,
R036XY284CO,SEEDED,4.3,SEEDED SHRUBLAND,PG/AG -SEEDED,
R036XY284CO,SEEDED,4.3,SEEDED SHRUBLAND,PG/AG,
R036XY284CO,SEEDED,4.3,SEEDED SHRUBLAND,PF/AF,
R036XY284CO,SEEDED,4.3,SEEDED SHRUBLAND,SHRUB,
R036XY284CO,SEEDED,4.3,SEEDED SHRUBLAND,ARTRW8,
R036XY284CO,SEEDED,4.3,SEEDED SHRUBLAND,UTAH JUNIPER,MAY BE PRESENT
R036XY284CO,SEEDED,4.3,SEEDED SHRUBLAND,PINYON,MAY BE PRESENT
R036XY284CO,INVASIVE ANNUAL,5.1,SAGEBRUSH W/ ANNUALS,CHEATGRASS,
R036XY284CO,INVASIVE ANNUAL,5.1,SAGEBRUSH W/ ANNUALS,ARTRW8,
R036XY284CO,INVASIVE ANNUAL,5.1,SAGEBRUSH W/ ANNUALS,PG/AG,
R036XY284CO,INVASIVE ANNUAL,5.1,SAGEBRUSH W/ ANNUALS,PF/AF,
R036XY284CO,INVASIVE ANNUAL,5.1,SAGEBRUSH W/ ANNUALS,SHRUB,
R036XY284CO,INVASIVE ANNUAL,5.1,SAGEBRUSH W/ ANNUALS,TREE,
R036XY284CO,INVASIVE ANNUAL,5.2,ANNUAL MONOCULTURE,CHEATGRASS,
R036XY284CO,INVASIVE ANNUAL,5.2,ANNUAL MONOCULTURE,AF ,
R036XY284CO,INVASIVE ANNUAL,5.2,ANNUAL MONOCULTURE,RABBITBRUSH,
R036XY284CO,INVASIVE ANNUAL,5.2,ANNUAL MONOCULTURE,PG/AG,
R034BY109UT,REFERENCE,1.1,1.1,SHADSCALE,
R034BY109UT,REFERENCE,1.1,1.1,BUD SAGEBRUSH,
R034BY109UT,REFERENCE,1.1,1.1,ACHY,
R034BY109UT,REFERENCE,1.2,1.2,SHADSCALE,
R034BY109UT,REFERENCE,1.2,1.2,SHRUB,OTHER
R034BY109UT,REFERENCE,1.2,1.2,ACHY,
R034BY109UT,REFERENCE,1.2,1.2,PG,OTHER
R034BY109UT,POTENTIAL,2.1,2.1,SHADSCALE,
R034BY109UT,POTENTIAL,2.1,2.1,BUD SAGEBRUSH,
