Plot ID,Panel,Plot Status,Administrative State,Project Office,Design Stratum,Project Contact Name,Comments,Rejection Criteria,Rejection Criteria Comments,Actual Stratum,Project,Random or Targeted,Revisit,Original Plot ID If Revisit,Date Originally Visited If Revisit,Moved,Move Comments,Date Visited,Actual Latitude Y,Actual Longitude X,Ecological Site
OT-122,OverSample 2020,SAMPLED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
OT-123,OverSample 2020,REJECTED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NA
OT-124,OverSample 2020,REJECTED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NA
OT-125,OverSample 2021,REJECTED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NA
OT-126,OverSample 2021,SAMPLED,CO,UFO,OT,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
PJ-155,2022,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,R036XY114CO
PJ-158,Oversample 2018,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,R036XY113CO
PJ-159,Oversample 2019,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,R036XY114CO
PJ-160,Oversample 2019,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,R036XY114CO
PJ-161,Oversample 2019,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,R036XY114CO
PJ-162,Oversample 2020,REJECTED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,NA
PJ-163,Oversample 2020,REJECTED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,NA
PJ-164,Oversample 2020,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
PJ-165,Oversample 2021,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,R036XY445CO
PJ-166,Oversample 2021,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,R036XY113CO
PJ-167,Oversample 2021,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,R036XY113CO
PJ-168,Oversample 2022,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
PJ-169,Oversample 2022,REJECTED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,NA
PJ-170,Oversample 2022,SAMPLED,CO,UFO,PJ,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
PP-176,Oversample 2018,SAMPLED,CO,UFO,PP,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
PP-177,Oversample 2018,SAMPLED,CO,UFO,PP,Ken Holsinger,,,,,,,,,,,,,,,R036XY287CO
PP-178,Oversample 2018,REJECTED,CO,UFO,PP,Ken Holsinger,,,,,,,,,,,,,,,NA
PP-179,Oversample 2019,SAMPLED,CO,UFO,PP,Ken Holsinger,,,,,,,,,,,,,,,R036XY289CO
PP-180,Oversample 2019,SAMPLED,CO,UFO,PP,Ken Holsinger,,,,,,,,,,,,,,,R048AY255CO
RI-205,2022,REJECTED,CO,UFO,RI,Ken Holsinger,,,,,,,,,,,,,,,NA
RI-209,Oversample 2019,SAMPLED,CO,UFO,RI,Ken Holsinger,,,,,,,,,,,,,,,NEED MATCHED
